timestamp,reward,penalty,max_possible_reward,max_possible_penalty,score,total_time,upper_screen_pct,lower_screen_pct
2026-03-26T12:50:51.126700,42,2,49,47,40,56,46.5,53.5
2026-03-26T12:51:43.456683,23,5,29,28,18,33,39.0,61.0
2026-03-26T12:52:53.923610,16,4,21,29,12,30,49.8,50.2
2026-03-26T12:53:59.916919,36,4,43,40,32,47,46.9,53.1
2026-03-26T12:55:29.771383,50,2,60,54,48,62,46.0,54.0
