timestamp,reward,penalty,max_possible_reward,max_possible_penalty,score,total_time,upper_screen_pct,lower_screen_pct
2026-03-26T14:09:56.542288,47,3,55,50,44,58,35.8,64.2
2026-03-26T14:11:39.177906,42,2,51,53,40,56,34.5,65.5
2026-03-26T14:13:17.283388,72,1,80,74,71,81,40.3,59.7
2026-03-26T14:14:34.258841,44,2,52,53,42,57,25.4,74.6
2026-03-26T14:17:04.625788,44,1,48,66,43,60,44.3,55.7
